Code_Interne,Nom_Patient_FR,Nom_Patient_AR,Nom_Technique,Categorie_FR,Categorie_AR,Prix_Dhs,Pre_Analytique_FR,Pre_Analytique_AR,Description_Patient_FR,Description_Patient_AR,Tags_FR,Tags_AR,Nombre_Demandes
I  SP10,Anticorps Anti-SP100,أجسام مضادة SP100,Anticorps anti-SP100 - Ig,Immunologie,المناعة,0,Non à jeun.,بدون صيام.,Cirrhose biliaire primitive.,تشمع صفراوي أولي.,sp100; cirrhose; foie; auto-immun,إس بي 100; تشمع; كبد; مناعة,2
N  PEPC,C-Peptide,الببتيد سي,C PEPTIDE,Hormonologie,الهرمونات,0,À jeun strict.,صيام صارم.,Fonction pancréatique (insuline).,وظيفة البنكرياس (أنسولين).,c-peptide; insuline; diabète; pancréas,ببتيد سي; أنسولين; السكري; بنكرياس,2
V  VB6,Vitamine B6,فيتامين ب6,VITAMINE B6,Vitamines,الفيتامينات,0,Non à jeun.,بدون صيام.,Métabolisme protéines.,أيض البروتينات.,vitamine b6; pyridoxine; nerfs,فيتامين ب6; بيريدوكسين; أعصاب,2
MT HCGP,Bêta-HCG Homme,هرمون الحمل عند الرجل,BETA HCG HOMME,Cancer,السرطان,0,Non à jeun.,بدون صيام.,Marqueur tumoral testiculaire.,مؤشر ورم خصوي.,hcg; cancer; testicule; tumeur; hommes,هرمون حمل; سرطان; خصية; ورم; رجال,2
EU LABS,Labstix Urinaire,اختبار البول السريع,LABSTIX URINAIRE,Bilan Rénal (Reins),فحص الكلى,0,Urines fraîches.,بول طازج.,Bandelette urinaire rapide.,شريط فحص بول سريع.,urines; bandelette; dépistage; rapide,بول; شريط; فحص; سريع,2
EZ B2GM,Anti-Bêta 2 Glycoprotéine IgM,أجسام مضادة بيتا 2 IgM,Anti-bêta 2 glycoprotéine,Immunologie,المناعة,0,Non à jeun.,بدون صيام.,Syndrome antiphospholipides.,متلازمة مضادات الفوسفوليبيدات.,bêta 2; antiphospholipides; thrombose; igm,بيتا 2; مضادات فوسفوليبيدات; جلطة,2
EU UU,Urée Urinaire,اليوريا في البول,UREE URINAIRE,Bilan Rénal (Reins),فحص الكلى,0,Urines 24h.,بول 24 ساعة.,Urée sur 24h.,يوريا على 24 ساعة.,urée; urines; reins; 24h,يوريا; بول; كلى; 24 ساعة,2
B  ATB1,Antibiogramme 1,مضادات حيوية 1,ANTIBIOGRAMME 1,Bactériologie,البكتيريا,0,Selon prélèvement.,حسب العينة.,Premier antibiogramme.,مضادات حيوية أولى.,antibiogramme; antibiotiques; premier,مضادات حيوية; أول,2
HS ATCL,Anticoagulant Circulant Lupique,مضاد التخثر الذئبي,ANTICOAGULANT CIRCULANT D,Coagulation,التخثر,0,Non à jeun.,بدون صيام.,Syndrome antiphospholipides.,متلازمة مضادات الفوسفوليبيدات.,anticoagulant; lupique; thrombose; sapl,مضاد تخثر; ذئبي; جلطة,2
O  F9,Facteur IX,العامل التاسع,FACTEUR IX (ANTIHEMOPHILI,Coagulation,التخثر,0,Non à jeun.,بدون صيام.,Facteur de coagulation (hémophilie B).,عامل التخثر (هيموفيليا ب).,facteur 9; hémophilie; coagulation; saignement,عامل 9; هيموفيليا; تخثر; نزيف,2
