Code_Interne,Nom_Patient_FR,Nom_Patient_AR,Nom_Technique,Categorie_FR,Categorie_AR,Prix_Dhs,Pre_Analytique_FR,Pre_Analytique_AR,Description_Patient_FR,Description_Patient_AR,Tags_FR,Tags_AR,Nombre_Demandes
C  HBA1,Hémoglobine Glyquée (HbA1c),الهيموغلوبين السكري,HEMOGLOBINE GLYQUEE HBA1,Diabète,السكري,110,Jeûne non obligatoire.,الصيام غير إلزامي,Moyenne du sucre sur 3 mois. Suivi diabète.,متوسط السكر على 3 أشهر. متابعة السكري.,sucre; diabète; équilibre; hba1c; glycémie; contrôle,سكر; السكري; توازن; متابعة; غلوكوز,6433
H  NFS,NFS (Numération Sanguine),تعداد الدم الكامل,NUMERATION FORMULE-PLAQUE,Hématologie,أمراض الدم,88,Jeûne non obligatoire (éviter repas gras).,الصيام غير إلزامي (تجنب الوجبات الدسمة).,"Anémie, infection, plaquettes.",فقر الدم والالتهابات والصفائح الدموية.,anémie; infection; plaquettes; globules; fatigue; pâleur,فقر دم; عدوى; صفائح; كريات; تعب; شحوب,5824
C  GLY,Glycémie à jeun,سكر الدم صائم,GLYCEMIE A JEUN,Diabète,السكري,33,Strictement à jeun (8h min).,صيام إلزامي (8 ساعات على الأقل).,Dépistage du diabète.,فحص السكري.,sucre; diabète; dépistage; glycémie; jeun,سكر; السكري; فحص; صائم; غلوكوز,4800
C  CR,Créatinine (Reins),الكرياتينين,CREATININE,Bilan Rénal (Reins),فحص الكلى,33,Jeûne préférable.,يفضل الصيام.,Bilan de la fonction rénale.,فحص وظائف الكلى.,reins; rénale; filtration; urée; dialyse,كلى; كلوي; ترشيح; يوريا; غسيل,4191
C  U,Urée Sanguine,اليوريا,UREE,Bilan Rénal (Reins),فحص الكلى,33,Jeûne préférable.,يفضل الصيام.,Fonction rénale et hydratation.,وظائف الكلى والترطيب.,reins; rénale; hydratation; urée; créatinine,كلى; يوريا; ترطيب; كرياتينين,2750
N  TSH,TSH (Thyroïde),هرمون الغدة الدرقية,TSH us,Hormonologie,الهرمونات,275,De préférence le matin.,يفضل في الصباح.,"Dépistage thyroïde (Fatigue, poids).",فحص الغدة الدرقية (تعب ووزن).,thyroïde; fatigue; prise poids; gorge; hormones; tsh,غدة درقية; تعب; وزن; حلق; هرمونات,2727
C  CHOL,Cholestérol Total,الكوليسترول الكلي,CHOLESTEROL,Cardiologie,القلب والشرايين,33,Strictement à jeun (12h).,صيام إلزامي (12 ساعة).,Bilan lipidique de base.,فحص الدهون الأساسي.,cholestérol; lipides; cœur; artères; gras,كوليسترول; دهون; قلب; شرايين,2041
EZ ALAT,ALAT (Foie),إنزيمات الكبد ALAT,TGP (ALAT),Bilan Hépatique (Foie),فحص الكبد,55,Jeûne préférable.,يفضل الصيام.,Enzyme du foie.,إنزيم الكبد.,foie; hépatique; transaminases; alat; tgp; enzymes,كبد; إنزيمات; ترانساميناز,1844
EZ ASAT,ASAT (Foie),إنزيمات الكبد ASAT,TGO (ASAT),Bilan Hépatique (Foie),فحص الكبد,55,Jeûne préférable.,يفضل الصيام.,Enzyme du foie et muscles.,إنزيم الكبد والعضلات.,foie; hépatique; muscles; asat; tgo; enzymes; cœur,كبد; عضلات; قلب; إنزيمات,1822
C  CRP,CRP (Inflammation),بروتين سي التفاعلي,CRP,Inflammation,الالتهاب,110,Non à jeun.,بدون صيام.,Indicateur d'infection ou inflammation.,مؤشر العدوى أو الالتهاب.,infection; inflammation; fièvre; douleur; crp,عدوى; التهاب; حمى; ألم,1801
