Code_Interne,Nom_Patient,Nom_Technique,Categorie,Prix_Dhs,Pre_Analytique,Description_Patient,Nombre_Demandes
C  HBA1,Hémoglobine Glyquée (HbA1c),HEMOGLOBINE GLYQUEE HBA1,Diabète,110,Jeûne non obligatoire.,Moyenne du sucre sur 3 mois. Suivi diabète.,6433
H  NFS,NFS (Numération Sanguine),NUMERATION FORMULE-PLAQUE,Hématologie,88,Jeûne non obligatoire (éviter repas gras).,"Anémie, infection, plaquettes.",5824
C  GLY,Glycémie à jeun,GLYCEMIE A JEUN,Diabète,33,Strictement à jeun (8h min).,Dépistage du diabète.,4800
C  CR,Créatinine (Reins),CREATININE,Bilan Rénal,33,Jeûne préférable.,Bilan de la fonction rénale.,4191
C  U,Urée Sanguine,UREE,Bilan Rénal,33,Jeûne préférable.,Fonction rénale et hydratation.,2750
N  TSH,TSH (Thyroïde),TSH us,Hormonologie,275,De préférence le matin.,"Dépistage thyroïde (Fatigue, poids).",2727
C  CHOL,Cholestérol Total,CHOLESTEROL,Cardiologie,33,Strictement à jeun (12h).,Bilan lipidique de base.,2041
EZ ALAT,ALAT (Foie),TGP (ALAT),Bilan Hépatique,55,Jeûne préférable.,Enzyme du foie.,1844
EZ ASAT,ASAT (Foie),TGO (ASAT),Bilan Hépatique,55,Jeûne préférable.,Enzyme du foie et muscles.,1822
C  CRP,CRP (Inflammation),CRP,Inflammation,110,Non à jeun.,Indicateur d'infection ou inflammation.,1801
C  TRIG,Triglycérides,TRIGLYCERIDES,Cardiologie,66,"Strictement à jeun (12h). Alcool interdit 24h avant.","Graisses dans le sang (Risque cardiaque).",1699
I  FERR,Ferritine (Réserve de Fer),FERRITINE,Anémie/Fer,275,À jeun de préférence.,"Dépistage carence en fer (Chute cheveux, fatigue).",1482
C  HDL,Cholestérol HDL (Bon),CHOLESTEROL HDL,Cardiologie,55,Strictement à jeun (12h).,Le 'Bon' cholestérol protecteur.,1263
C  ACU,Acide Urique (Goutte),ACIDE URIQUE,Rhumatologie,33,Jeûne préférable.,Dépistage de la Goutte.,1255
HS TP,TP (Coagulation),TAUX DE PROTHROMBINE,Coagulation,44,Non à jeun. Préciser traitement anticoagulant.,Surveillance fluidité du sang (Sintrom).,1173
C  LDL,Cholestérol LDL (Mauvais),CHOLESTEROL LDL,Cardiologie,55,Calculé ou Dosé. À jeun.,Le 'Mauvais' cholestérol (Risque artères).,1160
